poi_title,poi_id
成都大熊猫繁育研究基地,101001000001
成都融创水世界,101001000073
牛背山,101001000170
唐家河自然保护区,101001000173
酒城乐园,101001000147
大梁酒庄田园乐翻天乐园,101001000165
跑马山,101001000177
花舞人间,101001000035
阆中熊猫乐园,101001000167
昭觉寺,101001000184
中国观音故里灵泉景区,101001000121
李庄古镇,101001000064
金顶,101001000036
宝光寺,101001000157
侏罗纪世界电影特展,101001000166
生命奥秘博物馆,101001000144
通济花海,101001000134
鹧鸪山自然公园滑雪场,101001000110
九寨沟风景区,101001000004
欢乐派海滩公园,101001000119
神木垒,101001000181
太子岭滑雪场,101001000136
海滨城浩海立方海洋公园,101001000040
国色天乡水上乐园,101001000200
蜀风雅韵川剧院,101001000022
文殊坊,101001000194
卓克基土司官寨文化旅游景区,101001000175
都江堰青城道温泉,101001000090
双桥沟,101001000096
国色天乡摩天轮,101001000162
剑门长歌,101001000190
都江堰中华大熊猫苑（原熊猫乐园）,101001000060
狐巴巴星球,101001000123
安仁古镇,101001000105
墨石公园景区,101001000103
金沙遗址博物馆,101001000013
明月峡,101001000161
武侯祠,101001000011
成都松鼠部落森林假日公园,101001000063
阆中古城,101001000024
街子古镇,101001000127
春熙路,101001000019
四川成都鱼凫国都温泉大酒店温泉,101001000178
锦绣安仁奇境花园,101001000048
成都动物园,101001000016
盐都温泉,101001000082
神龙山巴人古堡,101001000146
南宝山旅游度假区,101001000137
天府广场,101001000091
东方佛都,101001000191
华蓥山,101001000065
宽窄巷子,101001000010
中国死海旅游度假区,101001000069
成都欢乐谷,101001000014
天府茶灵谷山地运动公园,101001000185
四川大学,101001000141
毕棚沟,101001000018
北湖公园,101001000199
黄龙风景名胜区,101001000027
和海田园,101001000125
九寨千古情,101001000059
东郊记忆,101001000115
药王谷,101001000099
绵阳科技馆,101001000071
叠溪－松坪沟风景区,101001000094
七彩海巢欢乐世界,101001000188
千佛崖,101001000098
天意谷,101001000067
锦里古街,101001000007
天府花溪谷,101001000085
浣花溪公园,101001000117
石象湖,101001000057
花水湾第一村温泉,101001000154
米仓山国家森林公园,101001000140
丹景山,101001000150
花园城国际度假中心,101001000163
虹口漂流,101001000159
青羊宫,101001000080
皇泽寺,101001000114
新都桥,101001000078
四川科技馆,101001000169
漫花庄园,101001000055
成都天台山,101001000062
浮生御度假村温泉中心,101001000145
红珠山森林温泉,101001000089
五花海,101001000070
兴文石海,101001000100
蜀南竹海,101001000038
盐业历史博物馆,101001000072
燊海井,101001000138
四川绵竹九龙滑草场,101001000189
剑门关天赐温泉,101001000116
越王楼,101001000087
蔚然花海,101001000124
二郎山喇叭河风景区,101001000104
西岭雪山,101001000015
木格措,101001000033
中铁花水湾四季温泉谷,101001000102
成都海昌极地海洋公园,101001000012
文殊院,101001000054
九眼桥,101001000129
双旗美村,101001000122
达古冰川风景区,101001000042
隆昌石牌坊群,101001000077
黄龙溪,101001000066
刘氏庄园博物馆,101001000039
中国泰迪熊博物馆,101001000079
七曲山大庙,101001000083
成都永陵,101001000174
白鹿中法风情小镇,101001000176
新都尖锋旱雪四季滑雪场,101001000193
广德寺风景区,101001000182
成都融创乐园	,101001000044
五彩池,101001000047
四姑娘山,101001000043
成都融创雪世界,101001000045
乐山大佛,101001000006
古宇湖,101001000076
梵高星空美术馆（春熙路旗舰店）,101001000112
清溪谷旅游区?花田酒地景区,101001000152
上里古镇,101001000148
柳江古镇,101001000139
绵阳方特东方神画,101001000009
卧龙中华大熊猫苑神树坪基地,101001000074
青城后山,101001000056
