				poi_id	poi_title
熊猫大道1375号	成都大熊猫繁育研究基地	104.138176	30.740573	101001000001	成都大熊猫繁育研究基地
成都融创水世界	四川省成都市都江堰市成都融创水世界	103.620554	30.952832	101001000073	成都融创水世界
境内三合乡瓢儿沟,与泸定县交界	牛背山景区	102.376054	29.773229	101001000170	牛背山
青溪镇	四川唐家河国家级自然保护区	104.761013	32.58114	101001000173	唐家河自然保护区
春景下路168酒城乐园内	海洋馆	105.417253	28.877953	101001000147	酒城乐园
文笔山村13组(近318国道)	大梁酒庄田园乐翻天乐园	103.47294	30.369446	101001000165	大梁酒庄田园乐翻天乐园
炉城街道向阳街36号	跑马山风景区	101.971786	30.044789	101001000177	跑马山
机场路	花舞人间景区	101.786389	26.525906	101001000035	花舞人间
阆中熊猫乐园	四川省南充市阆中市阆中熊猫乐园	105.958123	31.566022	101001000167	阆中熊猫乐园
昭青路333号昭觉寺内	元帅匾	104.105512	30.709404	101001000184	昭觉寺
灵泉路中国观音故里旅游区	中国观音故里旅游区灵泉风景区	105.6253	30.520756	101001000121	中国观音故里灵泉景区
老场街29号	李庄古镇景区-祖师殿	104.799798	28.805069	101001000064	李庄古镇
名山南路41号	峨眉山-金顶	103.337293	29.52007	101001000036	金顶
宝光街81号宝光寺内	高僧塔林	104.159626	30.831520	101001000157	宝光寺
侏罗纪世界电影特展(暂停营业)	四川省成都市成华区侏罗纪世界电影特展(暂停营业)	104.146680	30.730232	101001000166	侏罗纪世界电影特展
成都生命奥秘博物馆(今站购物中心店)	四川省成都市青羊区成都生命奥秘博物馆(今站购物中心店)	104.066558	30.657793	101001000144	生命奥秘博物馆
桥楼村湔江路	通济温泉花海景区	103.818959	31.157715	101001000134	通济花海
米亚罗镇鹧鸪山	鹧鸪山自然公园	102.671158	31.837577	101001000110	鹧鸪山自然公园滑雪场
漳扎镇	九寨沟	103.912874	33.142376	101001000004	九寨沟风景区
欢乐村	四川省泸州市古蔺县欢乐村	106.149220	28.023527	101001000119	欢乐派海滩公园
硗碛藏族乡神木垒内	硗碛藏寨·神木垒景区-情侣坡	102.707079	30.677604	101001000181	神木垒
太子岭	四川省阿坝藏族羌族自治州茂县太子岭	103.730837	31.548737	101001000136	太子岭滑雪场
